1;1;25;1
1;1;25;2
1;1;25;3
1;1;50;1
1;1;50;2
1;1;50;3
1;1;75;1
1;1;75;2
1;1;75;3
1;2;25;1
1;2;25;2
1;2;25;3
1;2;50;1
1;2;50;2
1;2;50;3
1;2;75;1
1;2;75;2
1;2;75;3
1;3;25;1
1;3;25;2
1;3;25;3
1;3;50;1
1;3;50;2
1;3;50;3
1;3;75;1
1;3;75;2
1;3;75;3
2;1;100;1
2;1;100;2
2;1;100;3
2;1;200;1
2;1;200;2
2;1;200;3
2;1;300;1
2;1;300;2
2;1;300;3
2;2;100;1
2;2;100;2
2;2;100;3
2;2;200;1
2;2;200;2
2;2;200;3
2;2;300;1
2;2;300;2
2;2;300;3
2;3;100;1
2;3;100;2
2;3;100;3
2;3;200;1
2;3;200;2
2;3;200;3
2;3;300;1
2;3;300;2
2;3;300;3
3;1;100;1
3;1;100;2
3;1;100;3
3;1;200;1
3;1;200;2
3;1;200;3
3;1;300;1
3;1;300;2
3;1;300;3
3;2;100;1
3;2;100;2
3;2;100;3
3;2;200;1
3;2;200;2
3;2;200;3
3;2;300;1
3;2;300;2
3;2;300;3
3;3;100;1
3;3;100;2
3;3;100;3
3;3;200;1
3;3;200;2
3;3;200;3
3;3;300;1
3;3;300;2
3;3;300;3
0;0;0;0
